"Source:","C:\Users\Pranabesh Guchait\Downloads\project\project.kicad_sch"
"Date:","11-03-2023 00:31:36"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","7"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"D1, D2, D3","3","LED","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"J1","1","Conn_01x04_Pin","Conn_01x04_Pin","Connector_PinHeader_1.00mm:PinHeader_1x04_P1.00mm_Vertical","Generic connector, single row, 01x04, script generated","",""
"R1, R2, R3","3","R","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor","",""
